"","Variable","H_p.adj","BD - REF","BD - UD","REF - UD","JT_p.adj"
"1","shannon","3.675 (1.000)","0.274","0.222","0.779","813.500 (1.000)"
"2","oforganisms","14.814 (0.013)","0.008","0.001","0.473","789.000 (1.000)"
"3","cotesum","10.056 (0.124)","0.119","0.005","0.229","698.000 (1.000)"
"4","sumoligochaeta","0.936 (1.000)","0.832","0.958","1.000","776.000 (1.000)"
"5","sumcrustmol","5.984 (0.753)","0.417","0.043","0.245","726.000 (1.000)"
"6","sumchironomidae","14.515 (0.015)","0.013","0.001","0.366","761.000 (1.000)"
"7","percentcote","1.015 (1.000)","0.814","0.925","1.000","747.000 (1.000)"
"8","percentoligochaeta","1.178 (1.000)","0.999","0.958","0.719","772.000 (1.000)"
"9","percentcrustmol","1.697 (1.000)","0.838","0.618","0.679","722.000 (1.000)"
"10","percentchironomidae","6.674 (0.604)","0.223","0.029","0.363","711.000 (1.000)"
"11","fbi","1.434 (1.000)","0.769","0.745","0.792","758.500 (1.000)"
"12","eptrichness","5.930 (0.753)","0.262","0.045","0.397","728.500 (1.000)"
"13","countcote","8.386 (0.272)","0.214","0.012","0.213","734.000 (1.000)"
"14","meanrichness","11.094 (0.078)","0.029","0.004","0.486","774.500 (1.000)"
"15","dominantorder","0.777 (1.000)","0.837","1.000","1.000","760.500 (1.000)"
"16","dominant3order","1.485 (1.000)","0.748","0.713","0.795","916.000 (1.000)"
"17","sumeptsumeptsumchiro","4.701 (1.000)","0.092","0.516","0.374","524.500 (1.000)"
"18","sumcotesumcotesumchirosumoli","2.997 (1.000)","0.295","0.386","0.931","743.500 (1.000)"
"19","coleoptera","2.279 (1.000)","0.759","0.400","0.544","778.000 (1.000)"
"20","diptera","6.674 (0.604)","0.223","0.029","0.363","711.000 (1.000)"
"21","ephemeroptera","3.752 (1.000)","0.775","0.213","0.266","701.000 (1.000)"
"22","trichoptera","0.500 (1.000)","1.000","0.897","1.000","777.000 (1.000)"
